step,loss,ppl,lr,time_sec,tag
1,4.338181,76.5681,3e-06,28.03,attn?-pe?-w?-?
50,2.210245,9.117952,0.00015,1118.11,attn?-pe?-w?-?
100,0.384303,1.46859,0.0003,2287.3,attn?-pe?-w?-?
1,4.338181,76.5681,3e-06,31.51,attn?-pe?-w?-?
50,2.210245,9.117952,0.00015,1128.74,attn?-pe?-w?-?
100,0.384303,1.46859,0.0003,2243.76,attn?-pe?-w?-?
150,0.132842,1.142069,0.0003,3378.04,attn?-pe?-w?-?
200,0.074089,1.076903,0.0003,4516.15,attn?-pe?-w?-?
250,0.050094,1.05137,0.0003,5653.8,attn?-pe?-w?-?
300,0.036723,1.037405,0.0003,6859.89,attn?-pe?-w?-?
350,0.03058,1.031052,0.0003,8033.42,attn?-pe?-w?-?
400,0.025607,1.025937,0.0003,9141.55,attn?-pe?-w?-?
450,0.023062,1.02333,0.0003,10267.56,attn?-pe?-w?-?
500,0.021119,1.021344,0.0003,11439.64,attn?-pe?-w?-?
550,0.019288,1.019475,0.0003,12565.27,attn?-pe?-w?-?
600,0.017415,1.017567,0.0003,13681.99,attn?-pe?-w?-?
1,4.338181,76.5681,3e-06,31.48,attn?-pe?-w?-?
50,2.210245,9.117952,0.00015,1214.37,attn?-pe?-w?-?
100,0.384303,1.46859,0.0003,2461.45,attn?-pe?-w?-?
150,0.132842,1.142069,0.0003,3694.6,attn?-pe?-w?-?
1,4.386717,80.376136,0.0003,3.83,attn?-pe?-w?-?
50,1.765281,5.843214,0.0003,201.48,attn?-pe?-w?-?
100,0.502072,1.652141,0.0003,406.89,attn?-pe?-w?-?
150,0.265087,1.303545,0.0003,587.63,attn?-pe?-w?-?
1,4.475465,87.835419,0.0003,3.89,attn?-pe?-w?-?
50,1.803071,6.068255,0.0003,188.51,attn?-pe?-w?-?
100,0.522083,1.685535,0.0003,373.08,attn?-pe?-w?-?
1,4.430804,83.998906,0.0003,3.81,attn?-pe?-w?-?
50,2.655208,14.227938,0.0003,184.6,attn?-pe?-w?-?
100,2.465665,11.771305,0.0003,367.59,attn?-pe?-w?-?
1,4.414474,82.638402,0.0003,3.65,attn?-pe?-w?-?
50,1.783736,5.952054,0.0003,183.72,attn?-pe?-w?-?
100,0.515967,1.675258,0.0003,366.45,attn?-pe?-w?-?
